year,month,hour,latitude,longitude,focal_depth_(km),magnitude,country,magnitude_scale
1964,4,8,45.3,18.1,32.0,6.0,BALKANS NW,slight_damage
1964,5,5,-4.0,34.9,33.0,6.0,TANZANIA,slight_damage
1964,5,7,40.3,139.0,30.0,6.9,JAPAN,severe damage
1964,5,20,40.4,139.0,0.0,6.6,JAPAN,severe damage
1964,6,12,38.1,38.3,0.0,6.1,TURKEY,severe damage
1964,6,4,38.65,139.2,40.0,7.5,JAPAN,serious damage
1964,7,0,-15.5,166.5,0.0,7.5,VANUATU ISLANDS,serious damage
1964,7,7,18.136,-100.605,93.0,7.3,MEXICO,serious damage
1964,7,8,47.159,153.876,15.0,6.8,RUSSIA,severe damage
1964,9,22,35.1,111.6,0.0,4.7,CHINA,minor damage
1964,10,14,40.3,28.2,15.0,7.0,TURKEY,serious damage
1964,11,8,-5.7,150.7,45.0,7.6,PAPUA NEW GUINEA,serious damage
1964,12,0,40.4,138.9,40.0,0.0,"NW. HONSHU ISLAND, JAPAN",limited damage
1964,12,0,27.0,54.0,0.0,0.0,IRAN,limited damage
1965,1,21,35.7,4.4,10.0,5.5,ALGERIA,slight_damage
1965,1,17,35.0,111.63,10.0,5.5,CHINA,slight_damage
1965,1,0,-2.4,126.1,6.0,7.6,INDONESIA,serious damage
1965,2,5,51.29,178.55,36.0,8.7,ALASKA,great damage
1965,2,16,37.684,46.998,52.0,5.3,IRAN,minor damage
1965,2,22,-25.67,-70.63,36.0,7.0,CHILE,serious damage
1965,3,17,39.4,24.0,18.0,6.3,GREECE,severe damage
1965,3,15,36.3,70.7,219.0,7.3,AFGHANISTAN,serious damage
1965,3,22,-31.81,-71.26,58.0,6.0,CHILE,slight_damage
1965,3,16,-32.4,-71.2,61.0,7.3,CHILE,serious damage
1965,3,2,50.32,177.93,20.0,7.6,ALASKA,serious damage
1965,3,9,38.6,22.4,78.0,7.1,GREECE,serious damage
1965,4,3,37.7,21.8,34.0,6.2,GREECE,severe damage
